File,Section,Year,Ref,Comment
./Data/corrected_sections/P15\2001_09FA20010524_ctd.nc,P15,2001,ITS-90, 0 
./Data/corrected_sections/P15\2009_09SS20090203_ctd.nc,P15,2009,ITS-90, 0 
./Data/corrected_sections/P15\2011_320620110219_ctd.nc,P15,2011,ITS-90, 0 
./Data/corrected_sections/P15\2016_096U20160426_ctd.nc,P15,2016,ITS-90, 0 
./Data/corrected_sections/P16\1984_31WTMARAII_ctd.nc,P16,1984,IPTS-68, 0 
./Data/corrected_sections/P16\1991_31DICGC91_2_ctd.nc,P16,1991,ITS-90, 0 
./Data/corrected_sections/P16\1991_31WTTUNES_2_ctd.nc,P16,1991,ITS-90, 0 
./Data/corrected_sections/P16\1991_31WTTUNES_3_ctd.nc,P16,1991,ITS-90, 0 
./Data/corrected_sections/P16\1992_316N138_9_ctd.nc,P16,1992,ITS-90, 0 
./Data/corrected_sections/P16\2005_33RR200501_ctd.nc,P16,2005,ITS-90, 0 
./Data/corrected_sections/P16\2006_325020060213_ctd.nc,P16,2006,ITS-90, 0 
./Data/corrected_sections/P16\2008_325020080826_ctd.nc,P16,2008,ITS-90, 0 
./Data/corrected_sections/P16\2011_320620110219_ctd.nc,P16,2011,ITS-90, 0 
./Data/corrected_sections/P16\2014_320620140320_ctd.nc,P16,2014,ITS-90, 0 
./Data/corrected_sections/P16\2015_33RO20150410_ctd.nc,P16,2015,ITS-90, 0 
./Data/corrected_sections/P16\2015_33RO20150525_ctd.nc,P16,2015,ITS-90, 0 
./Data/corrected_sections/P16\2018_33RR20180918_ctd.nc,P16,2018,ITS-90,"P16, but section_id was wrong" 
./Data/corrected_sections/P16\2018_33RR20180918_ctd.nc,P16,2018,ITS-90, 0 
./Data/corrected_sections/P17\1991_31WTTUNES_1_ctd.nc,P17,1991,ITS-90, 0 
./Data/corrected_sections/P17\1991_31WTTUNES_2_ctd.nc,P17,1991,ITS-90, 0 
./Data/corrected_sections/P17\1992_1993_316N138_10_ctd.nc,P17,1992,ITS-90, 0 
./Data/corrected_sections/P17\1992_1993_316N138_10_ctd.nc,P17,1993,ITS-90, 0 
./Data/corrected_sections/P17\1992_316N138_9_ctd.nc,P17,1992,ITS-90, 0 
./Data/corrected_sections/P17\1993_325021_1_ctd.nc,P17,1993,ITS-90, 0 
./Data/corrected_sections/P17\2001_49NZ200107_1_ctd.nc,P17,2001,ITS-90, 0 
./Data/corrected_sections/P17\2017_49NZ20170208_ctd.nc,P17,2017,ITS-90, 0 
./Data/corrected_sections/P18\1994_31DSCG94_2_ctd.nc,P18,1994,ITS-90, 0 
./Data/corrected_sections/P18\2007_2008_33RO20071215_ctd.nc,P18,2007,ITS-90, 0 
./Data/corrected_sections/P18\2007_2008_33RO20071215_ctd.nc,P18,2008,ITS-90, 0 
./Data/corrected_sections/P18\2011_320620110219_ctd.nc,P18,2011,ITS-90, 0 
./Data/corrected_sections/P18\2016_2017_33RO20161119_ctd.nc,P18,2016,ITS-90, 0 
./Data/corrected_sections/P18\2016_2017_33RO20161119_ctd.nc,P18,2017,ITS-90, 0 
./Data/corrected_sections/P21\1994_318MWESTW_4_ctd.nc,P21,1994,ITS-90, 0 
./Data/corrected_sections/P21\2009_49NZ20090410_ctd.nc,P21,2009,ITS-90, 0 
./Data/corrected_sections/P21\2013_325020131025_ctd.nc,P21,2013,ITS-90,"P21, but section_id was wrong" 
./Data/corrected_sections/P21\2013_325020131025_ctd.nc,P21,2013,ITS-90, 0 
./Data/corrected_sections/S04\1990_06MT11_5_ctd.nc,S04,1990,IPTS-68, 0 
./Data/corrected_sections/S04\1992_06AQANTX_4_ctd.nc,S04,1992,ITS-90, 0 
./Data/corrected_sections/S04\1992_90KDIOFFE6_1_ctd.nc,S04,1992,ITS-90, 0 
./Data/corrected_sections/S04\1993_74DI200_1_ctd.nc,S04,1993,ITS-90,"S04, but section_id was wrong" 
./Data/corrected_sections/S04\1993_74DI200_1_ctd.nc,S04,1993,ITS-90, 0 
